id,class,subject,type,difficulty,question
1,10,Science,MCQ,Easy,The change of a liquid into its vapours at any temperature below its boiling point is called —
2,10,Science,MCQ,Easy,Which gas is produced when a metal reacts with an acid?
3,10,Science,MCQ,Easy,Which part of the brain maintains posture and equilibrium of the body?
4,10,Science,MCQ,Easy,Which of the following is biodegradable?
5,10,Science,MCQ,Easy,Which of the following is not a physical change?
6,10,Science,Very Short Answer,Medium,State the role of pancreas in digestion of food.
7,10,Science,Very Short Answer,Medium,Give an example of a plant hormone that promotes growth.
8,10,Science,Very Short Answer,Medium,State the law of conservation of mass.
9,10,Science,Very Short Answer,Medium,Write the molecular formula of the first member of alkynes.
10,10,Science,Very Short Answer,Medium,Name the device which converts chemical energy into electrical energy.
11,10,Science,Short Answer,Medium,State the differences between autotrophic and heterotrophic nutrition.
12,10,Science,Short Answer,Medium,What is the function of haemoglobin in our blood?
13,10,Science,Short Answer,Medium,How will you show that air is necessary for combustion?
14,10,Science,Short Answer,Medium,What are ionic compounds? State any two properties of ionic compounds.
15,10,Science,Short Answer,Medium,Explain the process of formation of a rainbow.
16,10,Science,Long Answer,Hard,Explain the working of a human heart with the help of a labelled diagram.
17,10,Science,Long Answer,Hard,Describe the role of the following in human reproduction: (a) Testes (b) Uterus
18,10,Science,Long Answer,Hard,What is photosynthesis? Explain the process in detail with the help of equations.
19,10,Science,Long Answer,Hard,Describe an activity to show that light is necessary for photosynthesis.
20,10,Science,Long Answer,Hard,Draw a neat diagram of the human respiratory system and explain its working.
21,10,Science,Case Study,Hard,Read the following and answer the questions given below: A student conducted an experiment to show the importance of light in photosynthesis. He took a potted plant and kept it in a dark place for 24 hours. Then he covered one of its leaves with black paper and placed the plant in sunlight for a few hours...
